CardNo,Location,Designation,TACategory,dob,Age,Basic
3698,Noida,Engineer-II,VIII,07-06-1987,33.00,0.20
3699,Site,Engineer-I,VIII,10-07-1992,28.00,0.14
3700,Noida,Manager,VI,25-11-1975,45.00,0.46
3701,Noida,Senior Engineer,VIII,15-05-1980,40.00,0.32
3702,Chennai,Assistant Manager,VII,09-08-1987,33.00,0.36
3703,Noida,Design Associate II,IX,22-01-1988,32.00,0.15
3704,Noida,Engineer-I,VIII,31-12-1992,28.00,0.18
3705,Noida,Assistant Manager,VII,09-01-1987,33.00,0.35
3706,Site,Engineer-I,VIII,02-02-1987,33.00,0.22
3707,Noida,Deputy Manager,VII,05-09-1980,40.00,0.53
3708,Noida,Senior Manager,V,01-09-1975,45.00,0.61
3709,Noida,Deputy Manager,VII,01-03-1979,41.00,0.50
3710,Site,Engineer-I,VIII,13-06-1991,29.00,0.21
3711,Noida,Senior Engineer,VIII,10-07-1988,32.00,0.25
3712,Noida,Design Associate I,IX,28-11-1989,31.00,0.21
3713,Site,Engineer-I,VIII,13-05-1988,32.00,0.23
3714,Noida,Design Associate IV,IX,21-12-1991,29.00,0.13
3715,Site,Senior Engineer,VIII,10-03-1988,32.00,0.23
3716,Chennai,Designer,VIII,12-12-1982,38.00,0.24
3717,Noida,Assistant Manager,VII,23-08-1972,48.00,0.49
3718,Noida,G.E.T,VIII,03-03-1997,23.00,0.14
3719,Noida,G.E.T,VIII,01-07-1996,24.00,0.14
3720,Noida,G.E.T,VIII,02-02-1995,25.00,0.14
3721,Noida,Senior Engineer,VIII,29-05-1986,34.00,0.29
3722,Noida,Manager,VI,07-10-1977,43.00,0.57
3723,Noida,Senior Engineer,VIII,07-01-1992,28.00,0.20
3724,Noida,Senior Engineer,VIII,20-05-1991,29.00,0.24
3725,Noida,Deputy Manager,VII,15-07-1983,37.00,0.45
3726,Noida,Senior Engineer,VIII,12-08-1985,35.00,0.33
3727,Site,Engineer-I,VIII,01-07-1982,38.00,0.27
3728,Site,Engineer-II,VIII,25-02-1978,42.00,0.28
3729,Site,Manager,VI,05-10-1973,47.00,0.58
3730,Site,Senior Engineer,VIII,14-05-1988,32.00,0.26
3731,Noida,Assistant General Manager,V,23-10-1974,46.00,0.79
3732,Site,Senior Engineer,VIII,27-07-1987,33.00,0.21
3733,Site,Assistant Manager,VII,23-06-1976,44.00,0.28
3734,Site,Assistant Manager,VII,01-10-1981,39.00,0.39
3735,Noida,Deputy Manager,VII,28-12-1982,38.00,0.45
3736,Noida,Engineer-I,VIII,03-06-1993,27.00,0.21
3737,Noida,Senior Engineer,VIII,02-08-1984,36.00,0.29
3738,Noida,Design Associate II,IX,25-03-1988,32.00,0.24
3739,Site,Assistant Manager,VII,22-07-1980,40.00,0.35
3740,Site,Engineer-I,VIII,27-05-1990,30.00,0.22
3741,Chennai,Assistant Manager,VII,28-01-1986,34.00,0.34
3742,Noida,Senior Manager,VII,01-02-1980,40.00,0.64
3743,Chennai,Design Associate IV,IX,01-09-1998,22.00,0.10
3744,Site,Engineer-II,VIII,25-07-1987,33.00,0.15
3745,Noida,Senior Engineer,VIII,13-07-1990,30.00,0.37
3746,Noida,Senior Engineer,VIII,01-09-1987,33.00,0.22
3747,Noida,Assistant Manager,VII,13-08-1985,35.00,0.33
0200,Noida,Officer-III,IX,19-03-1964,56.00,0.25
3338,Noida,Associate Vice President,IIIB,04-09-1973,47.00,0.90
5071,Noida,Officer-II,VIII,16-02-1961,59.00,0.24
5021,Noida,General Manager,IV,20-11-1968,52.00,0.97
5060,Noida,Officer-II,VIII,18-05-1964,56.00,0.23
5045,Noida,Officer-I,VIII,13-07-1968,52.00,0.32
0225,Noida,Assistant Officer,IX,30-12-1961,59.00,0.23
5051,Noida,Assistant Officer,IX,22-08-1960,60.00,0.23
5063,Noida,Workers,XII,01-08-1973,47.00,0.04
1475,Noida,Assistant Engineer,IX,12-07-1967,53.00,0.21
3474,Pune,Designer,VIII,16-04-1964,56.00,0.18
0224,Noida,Junior Officer,X,11-08-1965,55.00,0.15
5099,Noida,General Manager,IV,02-04-1969,51.00,0.86
5103,Noida,Senior Officer,VIII,18-06-1977,43.00,0.33
5104,Noida,Executive I,VII,07-03-1968,52.00,0.38
5105,Noida,Officer-I,VIII,25-11-1976,44.00,0.31
5139,Noida,Officer-III,IX,20-03-1985,35.00,0.23
5001,Noida,Executive Director,I,02-12-1946,74.00,3.18
5142,Noida,Associate Vice President,IV,14-11-1975,45.00,1.05
5145,Noida,Manager,VI,09-09-1976,44.00,0.51
5089,Noida,Workers,XII,26-04-1960,60.00,0.04
5148,Noida,Manager,VI,05-08-1979,41.00,0.57
0234,Noida,Workers,XII,15-02-1960,60.00,0.04
5169,Noida,Officer-III,IX,14-07-1981,39.00,0.23
5170,Noida,Officer-III,IX,25-01-1978,42.00,0.24
5172,Noida,Senior Officer,VIII,01-08-1970,50.00,0.35
0233,Noida,Workers,XII,01-03-1963,57.00,0.04
5176,Noida,Senior Officer,VIII,05-02-1986,34.00,0.36
5185,Noida,Assistant General Manager,V,20-07-1972,48.00,0.72
5191,Noida,Assistant Officer,IX,03-05-1986,34.00,0.18
5192,Noida,Executive I,VIII,11-09-1979,41.00,0.39
5173,Noida,Head,II,18-03-1959,61.00,2.65
5207,Noida,Senior Officer,VIII,08-12-1983,37.00,0.31
5208,Noida,Deputy Manager,VII,07-07-1979,41.00,0.49
5215,Noida,Assistant Officer,IX,18-01-1996,24.00,0.21
5216,Noida,Assistant Officer,IX,08-12-1982,38.00,0.20
5217,Noida,Assistant Manager,VII,30-05-1974,46.00,0.42
5219,Noida,Assistant Manager,VII,07-10-1988,32.00,0.39
5220,Noida,Deputy General Manager,IV,26-02-1968,52.00,0.91
5221,Noida,Officer-III,VIII,21-11-1982,38.00,0.25
5223,Noida,Junior Officer,IX,01-02-1989,31.00,0.19
5224,Noida,Officer-III,VIII,15-09-1984,36.00,0.21
5226,Noida,Junior Officer,IX,04-05-1991,29.00,0.17
5227,Noida,Officer-II,VIII,31-03-1995,25.00,0.13
5230,Noida,Assistant General Manager,IV,07-01-1978,42.00,0.83
2832,Noida,Engineer-II,II,25-11-1982,38.00,0.24
5234,Noida,Officer-II,VIII,18-04-1985,35.00,0.28
